"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price"
"23","Harry Potter and the Goblet of Fire, Book 4",NA,"J.K. Rowling","Jim Dale","20 hrs and 37 mins","11-20-15","English","5 out of 5 stars","73,849 ratings","$44.99"
"24","Harry Potter and the Deathly Hallows, Book 7",NA,"J.K. Rowling","Jim Dale","21 hrs and 37 mins","11-20-15","English","5 out of 5 stars","103,349 ratings","$44.99"
"25","Becoming",NA,"Michelle Obama","Michelle Obama","19 hrs and 3 mins","11-13-18","English","5 out of 5 stars","156,052 ratings","$35.71"
"26","Harry Potter and the Prisoner of Azkaban, Book 3",NA,"J.K. Rowling","Jim Dale","11 hrs and 49 mins","11-20-15","English","5 out of 5 stars","76,793 ratings","$29.99"
"27","Harry Potter and the Order of the Phoenix, Book 5",NA,"J.K. Rowling","Jim Dale","26 hrs and 29 mins","11-20-15","English","5 out of 5 stars","68,215 ratings","$44.99"
"28","Harry Potter and the Half-Blood Prince, Book 6",NA,"J.K. Rowling","Jim Dale","18 hrs and 32 mins","11-20-15","English","5 out of 5 stars","63,634 ratings","$44.99"
"29","The Subtle Art of Not Giving a F*ck","A Counterintuitive Approach to Living a Good Life","Mark Manson","Roger Wayne","5 hrs and 17 mins","09-13-16","English","4.5 out of 5 stars","136,189 ratings","$23.95"
"30","Dune",NA,"Frank Herbert","Scott Brick, Orlagh Cassidy, Euan Morton, Simon Vance, Ilyana Kadushin","21 hrs and 2 mins","12-31-06","English","4.5 out of 5 stars","64,666 ratings","$47.93"
"31","The Invisible Life of Addie LaRue",NA,"V. E. Schwab","Julia Whelan","17 hrs and 10 mins","10-06-20","English","4.5 out of 5 stars","1,535 ratings","$46.89"
"32","Of Sea and Shadow","The Elder Empire: Sea, Book 1","Will Wight","Travis Baldree","11 hrs and 36 mins","02-11-20","English","4.5 out of 5 stars","358 ratings","$24.95"
"33","Midnight Sun",NA,"Stephenie Meyer","Jake Abel","25 hrs and 49 mins","08-04-20","English","4.5 out of 5 stars","11,835 ratings","$34.21"
"34","Wicca Book of Spells","A Book of Shadows for Wiccans, Witches, and Other Practitioners of Magic","Lisa Chamberlain","Kris Keppeler","1 hr and 59 mins","07-22-16","English","4.5 out of 5 stars","79 ratings","$6.95"
"35","The Return",NA,"Nicholas Sparks","Kyf Brewer","9 hrs and 56 mins","09-29-20","English","4.5 out of 5 stars","2,379 ratings","$30.79"
"36","How to Destroy America in Three Easy Steps",NA,"Ben Shapiro","Ben Shapiro","6 hrs and 19 mins","07-21-20","English","5 out of 5 stars","2,777 ratings","$23.95"
"37","Pretty Things","A Novel","Janelle Brown","Julia Whelan, Lauren Fortgang, Hillary Huber","16 hrs and 6 mins","04-21-20","English","4.5 out of 5 stars","8,633 ratings","$31.50"
"38","Anxious People","A Novel","Fredrik Backman","Marin Ireland","9 hrs and 53 mins","09-08-20","English","4.5 out of 5 stars","3,158 ratings","$20.99"
"39","Lead from the Outside","How to Build Your Future and Make Real Change","Stacey Abrams","Stacey Abrams","7 hrs and 15 mins","04-24-18","English","4.5 out of 5 stars","777 ratings","$20.99"
"40","12 Rules for Life","An Antidote to Chaos","Jordan B. Peterson, Norman Doidge MD - foreword","Jordan B. Peterson","15 hrs and 40 mins","01-23-18","English","4.5 out of 5 stars","62,150 ratings","$36.33"
"41","The Searcher","A Novel","Tana French","Roger Clark","14 hrs and 32 mins","10-06-20","English","4.5 out of 5 stars","2,032 ratings","$31.50"
